"hour","Theft","Other","Vandalism","Kidnapping","Assault","Controlled"
0,2625,2426,793,200,792,394
1,1608,1259,491,102,614,283
2,1254,1019,465,84,592,228
3,879,721,365,51,348,173
4,623,531,220,30,202,103
5,596,543,188,49,209,51
6,764,785,234,81,236,95
7,1050,1397,337,267,300,202
8,1713,1957,463,321,446,226
9,2012,2206,507,329,501,295
10,2297,2308,525,351,496,234
11,2399,2362,526,313,524,342
12,3223,3367,728,416,731,347
13,2598,2619,611,257,557,482
14,2826,2558,646,305,609,431
15,3110,2786,697,348,650,523
16,3408,2933,729,335,672,599
17,3903,3030,824,245,791,598
18,4692,2813,896,270,673,527
19,4350,2463,897,246,679,456
20,4113,2170,835,230,709,397
21,3442,2100,835,258,775,336
22,3330,2330,836,217,763,450
23,2902,2169,713,175,728,406
